,City ID,City Name,Cloudiness,Humidity,Latitude,Temperature,Wind
0,935215,Saint-Philippe,0,78,-21.36,79.75,4.7
1,534413,Lokot,92,96,52.57,36.17,8.63
2,2075720,Broome,0,89,-17.97,86.0,5.82
3,4030556,Rikitea,92,100,-23.12,78.45,6.42
4,2120047,Ust-Omchug,88,84,61.13,19.86,4.07
5,2522437,Adeje,40,64,28.12,66.69,10.29
6,4034551,Faanui,80,100,-16.48,82.07,12.33
7,3366880,Hermanus,48,62,-34.42,73.25,4.27
8,2015306,Tiksi,36,36,71.64,-10.65,2.73
9,1015776,Bredasdorp,80,73,-34.53,71.6,11.41
10,1140026,Herat,20,62,34.35,57.2,3.36
11,2163355,Hobart,75,62,-42.88,59.0,12.75
12,330534,Mizan Teferi,8,84,6.99,70.82,1.92
13,1261871,Naraini,0,44,25.19,76.83,8.43
14,2208248,Kaitangata,88,100,-46.28,52.35,21.52
15,6096551,Pangnirtung,75,59,66.15,33.8,20.8
16,5019116,Brainerd,90,67,46.36,23.9,4.7
17,187725,Maralal,32,95,1.1,60.45,2.62
18,286621,Salalah,20,78,17.01,80.6,5.82
19,2022572,Khatanga,64,78,71.98,-7.68,10.45
20,1106677,Bambous Virieux,40,83,-20.34,80.6,4.7
21,6113406,Prince Rupert,75,80,54.32,35.6,8.05
22,4035715,Avarua,75,94,-21.21,75.2,6.93
23,1621395,Kalianget,24,92,-7.35,66.3,2.28
24,2075265,Busselton,20,95,-33.64,70.44,8.66
25,1024552,Xai-Xai,32,99,-25.04,77.01,10.33
26,964420,Port Elizabeth,20,88,-33.92,71.6,25.28
27,2146219,Hervey Bay,68,96,-25.3,75.93,14.25
28,1006984,East London,40,78,-33.02,78.8,4.7
29,3369157,Cape Town,20,73,-33.93,69.8,18.34
30,3874787,Punta Arenas,75,93,-53.16,51.8,9.17
31,2121385,Severo-Kurilsk,88,100,50.68,26.52,9.78
32,5848280,Kapaa,90,88,22.08,72.41,13.87
33,3385899,Tutoia,75,74,-2.76,87.8,11.41
34,2077963,Albany,20,94,-35.02,59.55,7.54
35,2126123,Chokurdakh,12,43,70.62,-5.88,3.74
36,3985168,San Patricio,20,74,19.22,80.6,6.93
37,6170031,Tuktoyaktuk,90,77,69.44,-1.45,17.22
38,6089245,Norman Wells,75,71,65.28,8.6,16.11
39,5690366,Mandan,90,79,46.83,19.4,16.11
40,4032243,Vaini,90,100,-21.2,75.2,20.29
41,3833367,Ushuaia,75,87,-54.81,49.19,20.8
42,546105,Nikolskoye,90,93,59.7,37.4,11.18
43,3932145,Pisco,20,73,-13.71,73.4,6.93
44,2078025,Adelaide,75,67,-34.93,60.8,6.93
45,5604473,Preston,92,84,42.1,39.03,10.45
46,549718,Kholm-Zhirkovskiy,80,88,55.52,36.42,12.35
47,1507390,Dikson,20,75,73.51,-6.78,5.53
48,1529376,Korla,8,68,41.76,38.94,3.62
49,2126682,Bilibino,8,78,68.06,10.41,2.73
50,3883457,Lebu,0,91,-37.62,59.73,9.66
51,5855927,Hilo,1,83,19.71,69.8,4.7
52,241131,Victoria,75,88,-4.62,82.4,4.7
53,3863379,Mar del Plata,24,38,-46.43,77.55,28.12
54,2212775,Sabha,8,18,27.03,79.71,11.23
55,2194098,Ahipara,0,100,-35.17,50.73,3.4
56,4034005,Paea,20,78,-17.68,77.0,1.12
